"filename", "language", "C++", "comment", "blank", "total"
"d:\Code\c++\liusenyuan\project\EntryInfo.h", "C++", 0, 0, -1, -1
"d:\Code\c++\liusenyuan\project\functions.h", "C++", 2, 0, -3, -1
"d:\Code\c++\liusenyuan\project\login.cpp", "C++", -1, 1, 0, 0
"d:\Code\c++\liusenyuan\project\main.cpp", "C++", 58, 0, -3, 55
"d:\Code\c++\liusenyuan\project\student.cpp", "C++", 103, 0, 11, 114
"d:\Code\c++\liusenyuan\project\student.h", "C++", 2, 0, 0, 2
"Total", "-", 164, 1, 4, 169
