"filename", "language", "C++", "Makefile", "comment", "blank", "total"
"d:\Code\c++\liusenyuan\project\EntryInfo.h", "C++", 0, 0, 0, 1, 1
"d:\Code\c++\liusenyuan\project\MD5.h", "C++", 246, 0, 70, 54, 370
"d:\Code\c++\liusenyuan\project\functions.h", "C++", 15, 0, 0, 11, 26
"d:\Code\c++\liusenyuan\project\login.cpp", "C++", 24, 0, 4, 4, 32
"d:\Code\c++\liusenyuan\project\main.cpp", "C++", 55, 0, 0, 12, 67
"d:\Code\c++\liusenyuan\project\makefile", "Makefile", 0, 2, 0, 0, 2
"d:\Code\c++\liusenyuan\project\student.cpp", "C++", 31, 0, 0, 7, 38
"d:\Code\c++\liusenyuan\project\student.h", "C++", 44, 0, 0, 8, 52
"Total", "-", 415, 2, 74, 97, 588
